1,1,28/4/2024 08:53:16,1,1,1,20000,20000,Efectivo,allan@gmail.com,20000
2,2,28/7/2024 09:03:22,1,3,2,5000,10000,Tarjeta,allan@gmail.com,11100
2,2,28/7/2024 09:03:22,2,5,22,50,1100,Tarjeta,allan@gmail.com,11100
3,2,29/7/2024 02:11:23,1,4,2,10000,20000,Transferencia,allan@gmail.com,40000
3,2,29/7/2024 02:11:23,2,8,1,10000,10000,Transferencia,allan@gmail.com,40000
3,2,29/7/2024 02:11:23,3,3,2,5000,10000,Transferencia,allan@gmail.com,40000
4,3,29/7/2024 02:13:06,1,5,50,50,2500,Efectivo,bryan@gmail.com,2500
5,3,29/7/2024 02:19:15,1,8,1,10000,10000,Efectivo,allan@gmail.com,10000
6,1,29/7/2023 02:20:14,1,6,10,150,1500,Tarjeta,allan@gmail.com,1500
7,1,29/7/2024 10:35:26,1,8,1,10000,10000,Tarjeta,allan@gmail.com,10000
8,5,30/7/2024 07:04:38,1,3,2,5000,10000,Tarjeta,allan@gmail.com,10000
9,4,30/7/2024 07:37:45,1,9,5,50000,250000,Efectivo,allan@gmail.com,250000
